goodreads_book_id,isbn,authors,original_publication_year,original_title
2767052,439023483,Suzanne Collins,2008,The Hunger Games
3,439554934,"J.K. Rowling, Mary GrandPré",1997,Harry Potter and the Philosopher's Stone
41865,316015849,Stephenie Meyer,2005,Twilight
2657,61120081,Harper Lee,1960,To Kill a Mockingbird
4671,743273567,F. Scott Fitzgerald,1925,The Great Gatsby
11870085,525478817,John Green,2012,The Fault in Our Stars
5907,618260307,J.R.R. Tolkien,1937,The Hobbit or There and Back Again
5107,316769177,J.D. Salinger,1951,The Catcher in the Rye
960,1416524797,Dan Brown,2000,Angels & Demons 
1885,679783261,Jane Austen,1813,Pride and Prejudice
77203,1594480001,Khaled Hosseini,2003,The Kite Runner 
13335037,62024035,Veronica Roth,2011,Divergent
5470,451524934,"George Orwell, Erich Fromm, Celâl Üster",1949,Nineteen Eighty-Four
7613,452284244,George Orwell,1945,Animal Farm: A Fairy Story
48855,553296981,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944
2429135,307269752,"Stieg Larsson, Reg Keeland",2005,Män som hatar kvinnor
6148028,439023491,Suzanne Collins,2009,Catching Fire
5,043965548X,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,Harry Potter and the Prisoner of Azkaban
34,618346252,J.R.R. Tolkien,1954, The Fellowship of the Ring
7260188,439023513,Suzanne Collins,2010,Mockingjay
2,439358078,"J.K. Rowling, Mary GrandPré",2003,Harry Potter and the Order of the Phoenix
12232938,316166685,Alice Sebold,2002,The Lovely Bones
15881,439064864,"J.K. Rowling, Mary GrandPré",1998,Harry Potter and the Chamber of Secrets
6,439139600,"J.K. Rowling, Mary GrandPré",2000,Harry Potter and the Goblet of Fire
136251,545010225,"J.K. Rowling, Mary GrandPré",2007,Harry Potter and the Deathly Hallows
968,307277674,Dan Brown,2003,The Da Vinci Code
1,439785960,"J.K. Rowling, Mary GrandPré",2005,Harry Potter and the Half-Blood Prince
7624,140283331,William Golding,1954,Lord of the Flies 
18135,743477111,"William Shakespeare, Robert           Jackson",1595,An Excellent conceited Tragedie of Romeo and Juliet
8442457,297859382,Gillian Flynn,2012,Gone Girl
4667024,399155341,Kathryn Stockett,2009,The Help
890,142000671,John Steinbeck,1937,Of Mice and Men 
930,739326228,Arthur Golden,1997,Memoirs of a Geisha
10818853,1612130291,E.L. James,2011,Fifty Shades of Grey
865,61122416,"Paulo Coelho, Alan R. Clarke",1988,O Alquimista
3636,385732554,Lois Lowry,1993,The Giver
100915,60764899,C.S. Lewis,1950,"The Lion, the Witch and the Wardrobe"
14050,965818675,Audrey Niffenegger,2003,The Time Traveler's Wife
13496,553588486,George R.R. Martin,1996,A Game of Thrones
19501,143038419,Elizabeth Gilbert,2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia"
28187,786838655,Rick Riordan,2005,The Lightning Thief
1934,451529308,Louisa May Alcott,1868,Little Women
10210,142437204,"Charlotte Brontë, Michael Mason",1847,Jane Eyre
15931,553816713,Nicholas Sparks,1996,The Notebook
4214,770430074,Yann Martel,2001,Life of Pi
43641,1565125606,Sara Gruen,2006,Water for Elephants
19063,375831002,Markus Zusak,2005,The Book Thief
4381,307347974,Ray Bradbury,1953,Fahrenheit 451
49041,316160199,Stephenie Meyer,2006,"New Moon (Twilight, #2)"
30119,60513039,Shel Silverstein,1974,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein
256683,1416914285,Cassandra Clare,2007,City of Bones
428263,316160202,Stephenie Meyer,2007,Eclipse
113436,375826696,Christopher Paolini,2002,Eragon
11,345391802,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy
5129,60929871,Aldous Huxley,1932,Brave New World
